StudNr;A1;A2;A3;A4;A5;A6;A7;A8;A9;Version
111;3;3;4;3.5;0.5;3;3.5;0.5;0;B
112;2;1;2;0.5;0;3.5;1;1;0;B
113;4;3.5;3.5;4;3;4;3.5;3.5;2;A
114;2.5;4;4;3.5;1;4;4;3;3;B
115;4;3.5;4;3.5;4;1;4;2.5;3;A
116;3.5;1.5;3;3;1;1.5;3.5;0.5;2;B
117;4;3.5;2;3;4;3;4;2;0;A
118;3;2.5;1.5;2;3;1;3.5;1;2;A
119;3;2.5;3;4;4;3.5;3.5;0;0;A
120;4;1.5;4;3;2;2.5;3;3.5;3;B
121;0;1.5;0.5;1.5;3;0.5;1.5;1;0.5;A
122;2.5;4;4;3;3.5;4;3;3.5;2;B
123;4;3;1.5;2;3.5;0.5;1;1.5;0;A
124;4;3.5;4;2.5;2.5;3;3.5;4;3.5;B
125;1.5;0;2;2;2;1.5;2.5;1.5;2;B
126;3.5;3.5;3.5;3.5;2.5;1.5;3;3;1;A
127;2;1;1;2;1;4;0.5;0;0.5;B
128;2;1;2;2;0;0;0;1;0;B
129;1;3.5;2;3.5;3.5;2;1.5;3.5;0;A
130;3.5;1;1.5;2.5;0;3;0.5;0;0;B
131;0;2;0;0;1;0;2.5;0;0;A
132;3;3.5;2.5;3.5;4;2;3.5;2.5;2;A
133;3;3;3.5;2;0;4;3.5;3;1;B
134;2;1;3;2;1;1;2.5;1;0;B
135;0;1.5;0.5;0;0;0;0;1;0;A
136;1;2.5;3.5;2;4;1;2.5;1.5;0;A
137;2.5;1;2;1.5;1;4;1.5;1.5;2.5;B
138;1;3;3.5;3;3;0.5;3.5;3.5;3;A
139;4;3.5;4;3.5;4;4;3.5;4;2;B
140;1;2;2.5;0.5;0;1.5;1;0;1;B
141;1;3;0;3.5;3;0;0;1;0;A
142;1;3.5;3.5;3;3;0.5;3;2.5;3;A
143;2;3;2.5;1;3.5;2;3.5;1.5;1;A
144;3;4;3.5;3;3.5;0.5;3.5;2;3;A
145;4;3.5;3;4;3;3;3.5;3;0.5;B
146;1;3.5;0.5;1;4;3;3;2;0.5;A
147;2.5;3;2.5;2.5;1.5;2;2;0;2;B
148;0;4;4;4;4;4;3.5;4;4;A
149;1.5;1.5;0;1;0;0;0;0;0;A
150;3;1;0;0.5;1;4;2.5;1.5;0;B
151;1;0.5;0;0;0;0;0;0;0;A
152;1;4;2.5;4;3.5;1;3;3;2.5;A
153;1;0.5;2;1;0.5;0;1;2.5;0;A
154;3;1;4;2;1;4;3.5;3.5;0.5;B
155;3.5;2.5;1.5;2;4;1;2.5;3;2;A
156;3.5;2;3.5;3.5;1;3;4;4;1.5;B
157;2;3.5;3;3;2;3;2.5;1.5;1;B
158;4;3.5;4;3.5;3.5;3.5;1;3.5;0;B
159;4;4;3.5;3.5;2;4;3;3.5;1.5;B
160;1.5;1;0;0;0;0;0;2;0;B
161;3.5;3.5;4;3.5;2;4;2;3.5;1.5;B
162;4;2.5;2.5;2;4;1.5;3.5;3.5;0.5;A
163;4;3.5;2;1.5;4;1;4;1;1.5;A
164;3;1;0;0.5;1;4;1.5;1.5;0;B
165;2.5;3.5;3.5;2.5;0.5;4;2;3.5;1.5;B
166;1.5;3.5;3.5;4;3;2;3.5;2.5;2;A
167;1;0.5;0;0;0;0;0;0;0;A
168;2.5;1;3;1.5;2;1.5;0.5;1.5;1;B
169;1;2.5;1.5;1;2.5;0.5;3;0.5;0;A
170;1;3.5;3;2;2;1;1.5;2.5;0;A
171;3;1;1;1.5;0;1;0.5;0;0;B
172;1;4;0.5;0.5;1.5;0.5;2;0;0;A
173;4;1.5;3;3;2;3;1.5;2;0;B
174;3;4;4;3.5;2;1.5;2.5;3.5;3;B
175;2.5;1;2.5;1.5;0.5;2.5;0;2.5;0;B
176;1;3;3;1;3;1;1;3.5;1.5;A
177;4;3.5;3;2;4;0.5;0.5;0;0;A
178;3.5;3.5;3.5;4;4;3;3.5;4;4;A
179;1.5;3.5;1.5;0;0.5;3;1.5;0;0;B
180;4;4;3;1.5;3;3;4;1;1.5;B
181;1;2.5;2.5;1;3;0.5;1;2;0;A
182;1;1;3;1.5;1.5;0.5;0;0.5;0;A
183;3;3;2;4;4;1.5;3.5;0;0;A
184;1;3;4;3;4;0;2;3;0.5;A
185;3;1;4;3.5;1;3;0;3;0;B
186;3.5;4;3.5;4;3;3;3.5;3;0;A
187;1;3.5;3.5;3;2.5;0.5;3.5;3;2;A
188;2.5;3;2.5;2;0;1.5;1.5;1;0;B
189;3.5;1;3.5;4;0.5;2;3;3.5;3;B
190;4;4;3.5;4;4;4;4;3.5;3.5;A
191;1;1;0;0.5;0;0.5;0;0;0;B
192;1;1.5;0;3;1;0;3;0;0;A
193;1.5;3;2;3;3.5;2.5;3;3.5;0;A
194;0.5;1;0;1.5;0;0.5;0.5;1;0;B
195;4;4;4;4;4;3;3.5;4;3;A
196;3;1.5;1;0;3.5;0.5;3;1;0.5;A
197;3;1;4;3;1.5;4;1.5;1;0;B
198;3;1.5;3.5;3;1;4;3.5;3.5;1.5;B
199;3.5;1;3.5;2.5;2;3;1.5;3.5;0;B
200;4;1;3.5;4;1;4;3.5;0.5;0;B
201;2;3.5;3;2;2;2;2;3;1.5;B
202;3;1;2.5;4;2.5;3;3;3.5;1.5;B
203;3.5;3;2;4;4;3;4;4;4;A
204;1;1;4;0;1;3;0;0.5;0;B
205;3;3.5;3.5;3.5;2;3;3.5;3.5;0.5;B
206;3;2;2;0;0.5;3.5;1;3.5;0;B
207;2;4;4;4;4;2;4;3.5;1;A
208;4;2;3.5;4;2;4;3;3;0;B
209;2;4;4;2;2;3.5;4;1;2.5;B
210;1.5;2;2;2;0;0;2;0.5;0;A
211;1;2.5;2;1.5;1.5;1.5;0.5;1.5;0;A
212;3;3;3.5;1.5;4;3;1.5;3.5;3;A
213;4;2;4;4;0.5;2.5;3.5;3.5;0;B
214;1;2.5;0;2.5;2;2;1.5;2.5;0;A
215;2;1.5;2;0.5;0.5;3;0.5;0.5;0;B
216;3.5;3.5;2;2.5;1;1;3;4;0;B
217;1;1;2;1;3;0;0;1;0;A
218;2.5;2.5;3.5;3;3;2;3.5;2;0;A
219;3;3;4;3.5;0.5;4;4;4;3;B
220;1.5;2.5;3;3.5;3;2;4;1.5;0;A
221;3.5;3.5;2;3.5;3;1;3.5;2.5;0;A
222;4;3;1;3;2.5;0.5;0.5;0;0;A
223;1;2.5;3;3.5;3;0.5;1;2;2;A
224;2.5;3.5;4;3.5;0.5;4;2;3.5;0;B
225;2;0;0.5;2.5;1;1;2;1;1.5;B
226;4;4;3;3.5;2;3;3.5;3;3;B
227;4;1.5;4;4;3.5;4;3.5;3.5;3;B
228;3;1;4;2;2;4;3;3.5;2;B
229;3.5;4;4;4;4;4;4;3.5;0;B
230;1;1;2;2;2;1.5;1;2.5;2;B
231;4;3.5;3;4;4;4;3;4;3.5;B
232;3;1;4;1.5;3.5;4;3;3.5;1;B
233;1;4;4;4;3;1;3;3.5;0.5;A
234;3;3.5;2.5;4;3;1.5;4;3;3;A
235;4;4;3;3.5;4;4;1.5;3;4;A
236;4;3;4;3.5;4;4;4;4;4;B
237;4;3.5;3;4;3;3.5;0.5;3.5;0.5;A
238;2;1;1;2.5;0.5;3;0.5;0.5;0;B
239;3;1;0;1.5;2;4;0;1;0;B
240;2.5;1;2.5;2.5;0;1.5;0;4;0;B
